equation,domain,extrap_r2_near,extrap_r2_far,instability_index
Arrhenius,Chemistry,0.0,0.0,0.0
Henderson-Hasselbalch,Chemistry,0.0,0.0,0.0
Rate Law,Chemistry,0.0,0.0,0.0
Allometric Scaling,Biology,0.0,0.0,0.0
Michaelis-Menten,Biology,0.0,0.0,0.0
Logistic Growth,Biology,0.0,0.0,0.0
Kinetic Energy,Physics,1.0,1.0,0.0
Gravitational Force,Physics,0.0,0.0,0.0
Ideal Gas Law,Physics,0.0,0.0,0.0
Impermanent Loss,DeFi AMM,0.0,0.0,0.0
Price Impact,DeFi AMM,1.0,1.0,0.0
Constant Product,DeFi AMM,-173.18187453666243,-44589.559881385576,44416.378006848914
Value at Risk,DeFi Risk,0.0,0.0,0.0
Liquidation Price,DeFi Risk,0.0,0.0,0.0
Portfolio Variance,DeFi Risk,0.0,0.0,0.0
