system,domain,equation,train_r2,extrap_r2_far,source_file,source_status
,feynman_biology,Allometric scaling law (metabolic rate vs mass),,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 1.0, 'HybridDiscoverySystem v50_2 (tools)': 0.9999999981927078}",protocol_core_extrap_20260722_145617.json,no-manifest-entry
,feynman_biology,Logistic growth rate — cross-benchmark consistency check,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 0.9999999999854303, 'HybridDiscoverySystem v50_2 (tools)': 0.9999999999329872}",protocol_core_extrap_20260722_145617.json,no-manifest-entry
,feynman_biology,Michaelis-Menten enzyme kinetics — cross-benchmark consistency check,,"{'PureLLM Baseline (core)': -inf, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': -inf, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 0.9999999132337342, 'HybridDiscoverySystem v50_2 (tools)': 0.9999994711116592}",protocol_core_extrap_20260722_145617.json,no-manifest-entry
,feynman_chemistry,Arrhenius rate constant (Feynman variant) — cross-benchmark consistency check,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 0.06096541332939398, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_150054.json,no-manifest-entry
,feynman_chemistry,Henderson-Hasselbalch equation for buffer pH,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 0.9999999999999971, 'HybridDiscoverySystem v50_2 (tools)': 0.9999999999999971}",protocol_core_extrap_20260722_150054.json,no-manifest-entry
,feynman_electrochemistry,Nernst equation for electrode potential — cross-benchmark consistency check,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': None, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_150330.json,no-manifest-entry
,feynman_electromagnetism,Clausius-Mossotti: effective field in dielectric,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 0.9999999999748431, 'HybridDiscoverySystem v50_2 (tools)': 0.9999999995535083}",protocol_core_extrap_20260722_151359.json,no-manifest-entry
,feynman_electromagnetism,Dielectric polarisation: P = n * alpha * E (dilute limit),,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': None, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_151359.json,no-manifest-entry
,feynman_electromagnetism,Energy stored in a capacitor: E = 0.5 * C * V^2,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 1.0, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_151359.json,no-manifest-entry
,feynman_electromagnetism,Lorentz force on moving charge in magnetic field: F = qvB,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': None, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_151359.json,no-manifest-entry
,feynman_electromagnetism,Ohm's law: voltage as product of current and resistance,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 1.0, 'HybridDiscoverySystem v50_2 (tools)': 1.0}",protocol_core_extrap_20260722_151359.json,no-manifest-entry
,feynman_electrostatics,"Coulomb force between two point charges (1D, simplified)",,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': None, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_151959.json,no-manifest-entry
,feynman_electrostatics,Coulomb's law: electric force between charges,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 0.9999999999999845, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_151959.json,no-manifest-entry
,feynman_magnetism,Curie's law for magnetic susceptibility: chi = C/T,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': None, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_152156.json,no-manifest-entry
,feynman_mechanics,Kinetic energy (classical): KE = 0.5 * m * v²,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 1.0, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_153047.json,no-manifest-entry
,feynman_mechanics,Newton's gravitational force between two masses,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 0.9999999999999997, 'HybridDiscoverySystem v50_2 (tools)': 0.6634043191211487}",protocol_core_extrap_20260722_153047.json,no-manifest-entry
,feynman_mechanics,Reduced mass of a two-body system,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 1.0, 'HybridDiscoverySystem v50_2 (tools)': 1.0}",protocol_core_extrap_20260722_153047.json,no-manifest-entry
,feynman_mechanics,Total mechanical energy: spring potential + kinetic,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 1.0, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_153047.json,no-manifest-entry
,feynman_optics,Double-slit wave interference intensity,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 1.0, 'HybridDiscoverySystem v50_2 (tools)': 1.0}",protocol_core_extrap_20260722_153554.json,no-manifest-entry
,feynman_optics,Snell's law: refracted angle from incident angle and refractive indices,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': None, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_153554.json,no-manifest-entry
,feynman_probability,Gaussian/normal distribution probability density,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 0.9999999999999999, 'HybridDiscoverySystem v50_2 (tools)': 0.13404212565503015}",protocol_core_extrap_20260722_153729.json,no-manifest-entry
,feynman_quantum,Bose-Einstein occupation number for bosons,,"{'PureLLM Baseline (core)': -inf, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': -inf, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': None, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_154950.json,no-manifest-entry
,feynman_quantum,Fermi-Dirac occupation number for fermions,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': -4.5197877438995695, 'HybridDiscoverySystem v50_2 (tools)': -inf}",protocol_core_extrap_20260722_154950.json,no-manifest-entry
,feynman_quantum,Photon energy: E = h * f (Planck relation),,"{'PureLLM Baseline (core)': -inf, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': -inf, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': None, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_154950.json,no-manifest-entry
,feynman_quantum,Rabi frequency of two-level atom in magnetic field,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': None, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_154950.json,no-manifest-entry
,feynman_quantum,Zeeman energy: electron spin in magnetic field,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 0.9999999999999283, 'HybridDiscoverySystem v50_2 (tools)': 0.999999999999897}",protocol_core_extrap_20260722_154950.json,no-manifest-entry
,feynman_thermodynamics,Fourier's law of heat conduction: heat flux across material,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 0.9999999989079134, 'HybridDiscoverySystem v50_2 (tools)': -0.2803019613592528}",protocol_core_extrap_20260722_155745.json,no-manifest-entry
,feynman_thermodynamics,"Ideal gas law: pressure from moles, temperature, volume",,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': None, 'HybridDiscoverySystem v50_2 (tools)': 0.9999999999967308}",protocol_core_extrap_20260722_155745.json,no-manifest-entry
,feynman_thermodynamics,Planck blackbody spectral radiance (dimensionless: x=hf/kT),,"{'PureLLM Baseline (core)': -inf, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': -inf, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 1.0, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_155745.json,no-manifest-entry
,feynman_thermodynamics,Stefan-Boltzmann law: blackbody radiated power,,"{'PureLLM Baseline (core)': None, 'ImprovedNN (core)': None, 'EnhancedHybridSystemDeFi (core)': None, 'HybridSystemLLMNN all-domains (core)': None, 'SymbolicEngineWithLLM (tools)': 0.9999999999920299, 'HybridDiscoverySystem v50_2 (tools)': None}",protocol_core_extrap_20260722_155745.json,no-manifest-entry
