file,record_index,domains,methods,numeric_fields
hypatiax/data/results/fixc3_baseline.json,0,feynman30,,n_pass=74.0; n_total=90.0
hypatiax/data/results/portfolio_variance_audit/portfolio_variance_seed_sweep.json,0,"defi,portfolio_variance",pysr,pysr_only[0].seed=42.0; pysr_only[0].train_r2=0.9094853654333439; pysr_only[0].near_r2=-0.781076663608985; pysr_only[0].medium_r2=0.9267675969136575; pysr_only[0].far_r2=-21.004010423917503; pysr_only[0].time_s=41.7890408039093; pysr_only[1].seed=123.0; pysr_only[1].train_r2=0.9044234244573104; pysr_only[1].near_r2=0.23422717625195455; pysr_only[1].medium_r2=0.9472262493835236; pysr_only[1].far_r2=-18.650527367244933; pysr_only[1].time_s=40.410842180252075; pysr_only[2].seed=777.0; pysr_only[2].train_r2=0.9563972493881524; pysr_only[2].near_r2=0.9999486293061834; pysr_only[2].medium_r2=0.8004920889110178; pysr_only[2].far_r2=-0.4377549567843577; pysr_only[2].time_s=40.98907542228699; pysr_only[3].seed=2024.0; pysr_only[3].train_r2=0.950449125259411; pysr_only[3].near_r2=0.8864576208692557; pysr_only[3].medium_r2=0.9493459264151711; pysr_only[3].far_r2=-118.44821877388537; pysr_only[3].time_s=44.49528384208679; pysr_only[4].seed=99.0; pysr_only[4].train_r2=0.9667700744870611; pysr_only[4].near_r2=0.07154956661985568; pysr_only[4].medium_r2=0.8659027977601879; pysr_only[4].far_r2=-1.2263830127950386; pysr_only[4].time_s=41.75740599632263; hypatia[0].seed=42.0; hypatia[0].train_r2=0.9134312458374265; hypatia[0].near_r2=0.947828280797165; hypatia[0].medium_r2=0.8551944020583877; hypatia[0].far_r2=-0.02324580930019149; hypatia[0].time_s=43.95064616203308; hypatia[1].seed=123.0; hypatia[1].train_r2=0.9383273893982862; hypatia[1].near_r2=0.7275836762030072; hypatia[1].medium_r2=0.6529673761053123; hypatia[1].far_r2=-18.089537749619463; hypatia[1].time_s=50.19736838340759; hypatia[2].seed=777.0; hypatia[2].train_r2=0.9977789166118219; hypatia[2].near_r2=1.0; hypatia[2].medium_r2=1.0; hypatia[2].far_r2=1.0; hypatia[2].time_s=46.689141511917114; hypatia[3].seed=2024.0; hypatia[3].train_r2=0.9975455190273314; hypatia[3].near_r2=1.0; hypatia[3].medium_r2=1.0; hypatia[3].far_r2=1.0; hypatia[3].time_s=48.04505133628845; hypatia[4].seed=99.0; hypatia[4].train_r2=0.8957944941038813; hypatia[4].near_r2=0.15724375825301962; hypatia[4].medium_r2=0.9228289825081283; hypatia[4].far_r2=-15.19133971138071; hypatia[4].time_s=47.006345987319946
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,0,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.563; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9998767037700544; results.neural_network.test_r2=-0.16032838656597637; results.neural_network.time_s=0.73; results.neural_network.extrapolation_gap=1.1602050903360308; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.512; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,1,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.836; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9998545900944688; results.neural_network.test_r2=-2.5446875324868556; results.neural_network.time_s=1.132; results.neural_network.extrapolation_gap=3.5445421225813245; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.715; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,2,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.779; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9999029166029948; results.neural_network.test_r2=-2.54724464213968; results.neural_network.time_s=1.172; results.neural_network.extrapolation_gap=3.547147558742675; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.578; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,3,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.55; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9997541726745622; results.neural_network.test_r2=0.5461017912536449; results.neural_network.time_s=1.473; results.neural_network.extrapolation_gap=0.45365238142091735; results.neural_network.stability_score=0.5461017912536449; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.872; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,4,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.591; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9999220955742463; results.neural_network.test_r2=-0.24927045271009263; results.neural_network.time_s=0.92; results.neural_network.extrapolation_gap=1.249192548284339; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.637; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,5,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.578; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9998994963669205; results.neural_network.test_r2=0.9813546267072745; results.neural_network.time_s=0.43; results.neural_network.extrapolation_gap=0.01854486965964608; results.neural_network.stability_score=0.9813546267072745; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.423; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,6,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.488; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.998511144544395; results.neural_network.test_r2=-7.22067406825915; results.neural_network.time_s=0.43; results.neural_network.extrapolation_gap=8.219185212803545; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.623; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,7,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.65; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9998072537865891; results.neural_network.test_r2=0.8937197337446576; results.neural_network.time_s=0.489; results.neural_network.extrapolation_gap=0.10608752004193145; results.neural_network.stability_score=0.8937197337446576; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.713; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,8,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.952; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9988517396493826; results.neural_network.test_r2=0.27549742818978284; results.neural_network.time_s=0.454; results.neural_network.extrapolation_gap=0.7233543114595997; results.neural_network.stability_score=0.27549742818978284; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.582; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,9,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.542; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9993247737366914; results.neural_network.test_r2=0.4347830579130205; results.neural_network.time_s=0.519; results.neural_network.extrapolation_gap=0.5645417158236709; results.neural_network.stability_score=0.4347830579130205; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.669; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,10,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=2.225; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.time_s=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.53; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,11,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.589; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.time_s=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.658; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,12,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.627; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9998513032830977; results.neural_network.test_r2=-2.483450348989361; results.neural_network.time_s=0.725; results.neural_network.extrapolation_gap=3.4833016522724587; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.677; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
hypatiax/data/results/portfolio_variance_audit/hypatiax_defi_benchmark_v3c2_results.json,13,"defi,portfolio_variance","hypatiax,llm,nn",results.pure_llm.train_r2=1.0; results.pure_llm.test_r2=1.0; results.pure_llm.time_s=1.764; results.pure_llm.extrapolation_gap=0.0; results.pure_llm.stability_score=1.0; results.neural_network.train_r2=0.9999538043435231; results.neural_network.test_r2=-2.7162408720697666; results.neural_network.time_s=0.501; results.neural_network.extrapolation_gap=3.7161946764132896; results.neural_network.stability_score=0.0; results.hybrid.train_r2=1.0; results.hybrid.test_r2=1.0; results.hybrid.time_s=1.725; results.hybrid.nn_rerun_time_s=0.0; results.hybrid.extrapolation_gap=0.0; results.hybrid.stability_score=1.0
