task_id,name,domain,hyp_train_r2,hyp_extrap_r2,nn_extrap_r2,success,best_expression
?,?,?,,,,False,
expected_shortfall,Portfolio Expected Shortfall for correlated,expected_shortfall,nan,nan,-2.493077736252863,False,
feynman_biology,feynman_biology,feynman_biology,,,,False,
feynman_chemistry,feynman_chemistry,feynman_chemistry,,,,False,
feynman_electrochemistry,feynman_electrochemistry,feynman_electrochemistry,,,,False,
feynman_electromagnetism,feynman_electromagnetism,feynman_electromagnetism,,,,False,
feynman_electrostatics,feynman_electrostatics,feynman_electrostatics,,,,False,
feynman_magnetism,feynman_magnetism,feynman_magnetism,,,,False,
feynman_mechanics,feynman_mechanics,feynman_mechanics,,,,False,
feynman_optics,feynman_optics,feynman_optics,,,,False,
feynman_probability,feynman_probability,feynman_probability,,,,False,
feynman_quantum,feynman_quantum,feynman_quantum,,,,False,
feynman_thermodynamics,feynman_thermodynamics,feynman_thermodynamics,,,,False,
risk,Portfolio Sharpe Ratio,risk,1.0,0.9999999999999999,-0.29247825891707735,True,
risk_var,Annualised Portfolio tracking error,risk_var,1.0,1.0,-3.183806871353739,True,
{'mode': 'noiseless', 'noise_level': 0.0, 'threshold': 0.9999, 'note': 'Noiseless run — directly comparable to published SR literature: NeSymReS (59.4%), AI Feynman (79.3%), TPSR (56.0%), DSR (32.0%)'},{'mode': 'noiseless', 'noise_level': 0.0, 'threshold': 0.9999, 'note': 'Noiseless run — directly comparable to published SR literature: NeSymReS (59.4%), AI Feynman (79.3%), TPSR (56.0%), DSR (32.0%)'},{'mode': 'noiseless', 'noise_level': 0.0, 'threshold': 0.9999, 'note': 'Noiseless run — directly comparable to published SR literature: NeSymReS (59.4%), AI Feynman (79.3%), TPSR (56.0%), DSR (32.0%)'},,,,False,
