seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
123,N1,1,1,1,1,229.84219431877136,219.304673910141,6.898348e-16,7.5228453e-16,x + ((((x * (((x * x) + ((x * x) / x)) * x)) / x) - (6.7937406e-10 / (x - 0.8657585))) - (6.7937406e-10 / (0.99500513 - x))),((((x * x) / x) * ((((5.8522154e-10 / (x + -0.8465082)) + ((x * x) + x)) + (-9.023693e-10 / (1.0 - x))) * x)) / x) + x,False,True,used,pysr_warm_start,True
123,N10,1,1,1,1,371.08081817626953,368.51922369003296,1.5311808e-15,1.5931972e-15,(sin(x) * 1.9999999) * cos(((sin(x + (sin((x ^ 1.8592527) / sqrt(y)) + 0.8813707)) - -0.629428) * (-5.4647824e-8 / y)) + y),((x * cos(sin(-2.0672653 / ((y * y) * sin(y * (y * ((y * y) * 0.99997455))))))) * 1.6190742e-7) + (sin(x) * (cos(y) * 1.9999999)),False,True,used,pysr_warm_start,True
123,N11,1,1,1,1,446.2454619407654,568.1495838165283,3.7735418e-16,3.4685965e-16,(x ^ (y + (((y / log(x)) - sin(exp(y ^ 0.80213183))) * 1.7066725e-8))) + (exp(log(x) - sin((y ^ sin(1.4036982)) / x)) * 1.7066725e-8),x ^ (y * ((((0.99999994 ^ (y / 0.9444488)) ^ x) ^ (x * x)) ^ (exp(sin(x - (sin(y) / -0.0071637183))) ^ x))),False,True,used,pysr_warm_start,True
123,N12,1,1,1,1,249.27646398544312,296.20091795921326,2.3476014e-15,2.4585175e-05,(((x ^ 4.0) + ((y + ((sqrt(y ^ 4.0) - y) + ((x ^ 4.0) - (x ^ 3.0)))) - (x ^ 3.0))) / 2.0) - y,((((((x * sin(sin((x - 1.0580503) * -3.9550495) - 0.38498104)) * -0.35247755) + exp((x - -0.65537065) * -3.9627705)) + (y * y)) * 0.5003386) - y) + -0.0386002,False,False,used,pysr_warm_start,True
123,N2,1,1,1,1,264.80960035324097,231.39592170715332,3.5727553e-15,2.509283e-15,((x - sin(sin(x))) + (x ^ 4.0)) + ((sin(sin(x)) + (x ^ ((sin(sin(x)) + 2.0) - sin(sin(x))))) + (x ^ 3.0)),(((x + 2.444644e-8) + (((-2.4712865e-8 / x) + (x * x)) * x)) * (0.2697741 + ((x - -0.7302259) - (x + 2.444644e-8)))) * (x + 1.0),False,True,used,pysr_warm_start,True
123,N3,1,1,1,1,270.94707679748535,267.5839853286743,2.781522e-15,2.942205e-15,((x * x) + ((((x ^ 3.0) + ((x + (x ^ 4.0)) - sin(x))) + (x ^ 5.0)) - x)) + (sin(x) + x),((x * (((((x + (x + 1.1342202)) + ((x * x) - 0.050068967)) + -0.08415125) - x) * (x * x))) - -7.519465e-9) + ((x * x) + x),False,True,used,pysr_warm_start,True
123,N4,1,1,1,1,311.6815207004547,273.61602544784546,4.682963e-15,2.787539e-09,x + ((x * ((((x ^ 2.0) + (x ^ 5.0)) + ((x ^ 3.0) - x)) + (((x ^ 4.0) + x) + (x ^ 6.0)))) / x),(exp(x * ((sin(sin((sin(x * 2.50995) * 0.97274923) * (x * x))) * 0.19006227) + x)) + 0.0003141235) * ((x * x) + x),False,False,used,pysr_warm_start,True
123,N5,1,1,1,1,245.82195854187012,296.7830469608307,4.2188474e-16,5.551115e-16,((cos(((x * x) / x) + (2.0292003e-8 / x)) * sin(x * x)) + -0.87134975) - 0.12865023,-0.99999994 - ((6.191565e-8 - sin(x * (x + (exp(exp(x)) * -7.392024e-9)))) * cos(x + -1.8098964e-8)),False,True,used,pysr_warm_start,True
123,N6,1,1,1,1,259.75084376335144,302.3198285102844,1.280947e-15,1.432265e-15,(sin(((x * x) + x) + (((x + ((sin(x) + 0.8008925) * -1.8508889e-8)) - x) + -1.2769035e-8)) + sin(x + 1.761221e-7)) + -1.4771622e-7,(sin(x) - 5.897207e-9) + sin((x + ((x + (cos(cos(x + -0.08587265)) * ((cos(exp(exp(x))) * 1.1313919e-7) + 2.2367267e-8))) * x)) - -4.843537e-9),False,True,used,pysr_warm_start,True
123,N7,1,1,1,1,279.8863341808319,512.9808142185211,3.920475e-15,5.2197116e-08,log((((x * (((x + ((sqrt(x) + 3.9510898e-8) * x)) - x) * sqrt(x))) + ((x * x) + (x + x))) - x) + (x / x)),sqrt(sqrt(x ^ (sin(sin(sin((sin(sin(cos(x)) * x) * -0.14551921) + (0.15246089 ^ x)))) + sin(x + 1.5373371))) + 0.91659886) * (x + 0.0012872593),False,False,used,pysr_warm_start,True
123,N8,1,1,1,1,314.4015703201294,279.6172876358032,1.0436096e-15,1.2267965e-15,sqrt(((4.5622937e-8 * x) * sin(sin(sin(x - cos(sin(sqrt(x)))) + (x * sin(cos(exp(x + 1.2731823))))))) + x),sqrt(x - ((cos(cos(exp(((exp((x + log(x)) * x) * -6.020743e-8) + x) * 1.3708733))) - cos(x)) * -6.020743e-8)),False,True,used,pysr_warm_start,True
123,N9,1,1,1,1,267.87575030326843,247.83623600006104,7.655172e-16,7.3897595e-16,sin(x) + ((y * sin((((y + -5.483423e-9) * (y * (y + -3.051577e-8))) / y) + -5.483423e-9)) / ((y * y) / (y - -2.503235e-8))),((((sin((((y * y) * y) - 5.3258464e-11) / y) * y) / y) * (y - (x * 3.3485478e-8))) / ((y * y) / y)) + sin(x),False,True,used,pysr_warm_start,True
