seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_from_archived_hof_csv,p_from_archived_hof_csv,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
42,N1,97,93,False,False,,,,,,,,,,,,,
42,N10,171,160,False,False,,,,,,,,,,,,,
42,N11,180,206,False,False,,,,,,,,,,,,,
42,N12,0,114,False,False,,,,,,,,,,,,,
42,N2,95,108,False,False,,,,,,,,,,,,,
42,N3,98,103,False,False,,,,,,,,,,,,,
42,N4,166,150,False,False,,,,,,,,,,,,,
42,N5,166,221,False,False,,,,,,,,,,,,,
42,N6,148,140,False,False,,,,,,,,,,,,,
42,N7,115,131,False,False,,,,,,,,,,,,,
42,N8,171,141,False,False,,,,,,,,,,,,,
42,N9,0,144,False,False,,,,,,,,,,,,,
