seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_from_archived_hof_csv,p_from_archived_hof_csv,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
123,N1,70,1,False,False,1,1,16.418864965438843,0.019764423370361328,5.899144e-16,5.899144e-16,((((x + ((-4.377037e-9 / cos(x / (-4.6535706e-11 / x))) * (x + 0.22580215))) * (((x * x) / x) + (x * x))) * x) / x) + x,((((x + ((-4.377037e-9 / cos(x / (-4.6535706e-11 / x))) * (x + 0.22580215))) * (((x * x) / x) + (x * x))) * x) / x) + x,False,True,used,pysr_warm_start,True
123,N10,113,124,False,False,22,14,6.277033805847168,5.666231155395508,1.5311808e-15,1.5931972e-15,cos(y + ((sin((x + sin((x ^ 1.7605023) / sqrt(y))) + 0.8599453) - -0.629428) * (-5.4647824e-8 / y))) * (sin(x) * 1.9999999),((x * cos(sin(-2.0672653 / ((y * y) * sin(y * (y * ((y * y) * 0.99997455))))))) * 1.6190742e-7) + (sin(x) * (cos(y) * 1.9999999)),False,True,used,pysr_warm_start,True
123,N11,94,1,False,False,1,1,0.6749091148376465,0.023569107055664062,3.4659402e-16,3.4659402e-16,x ^ exp(log(y + (1.7893862e-8 * (((y / log(x)) + (x / sin(x / log(y)))) - 0.27230603)))),x ^ exp(log(y + (1.7893862e-8 * (((y / log(x)) + (x / sin(x / log(y)))) - 0.27230603)))),False,True,used,pysr_warm_start,True
123,N12,48,1,False,False,1,1,0.6280210018157959,0.02313828468322754,2.2168032e-15,2.2168032e-15,(((((y / 2.0) * y) * (sin(x) * x)) / sin(x)) / x) + (((((x ^ 4.0) - (x ^ 3.0)) - y) * x) / x),(((((y / 2.0) * y) * (sin(x) * x)) / sin(x)) / x) + (((((x ^ 4.0) - (x ^ 3.0)) - y) * x) / x),False,False,used,pysr_warm_start,True
123,N2,56,1,False,False,1,1,0.622889518737793,0.018431425094604492,3.102927e-15,3.102927e-15,((x ^ 4.0) + (((x ^ 3.0) * x) / x)) + (x + ((x ^ 3.0) / (((x ^ 3.0) * ((x / x) / x)) / x))),((x ^ 4.0) + (((x ^ 3.0) * x) / x)) + (x + ((x ^ 3.0) / (((x ^ 3.0) * ((x / x) / x)) / x))),False,True,used,pysr_warm_start,True
123,N3,46,1,False,False,1,1,0.6249368190765381,0.0185699462890625,2.7649974e-15,2.7649974e-15,(((x ^ 3.0) - x) + ((x ^ 4.0) + (((x ^ 5.0) + (x ^ 2.0)) + ((x - sin(x)) + x)))) + sin(x),(((x ^ 3.0) - x) + ((x ^ 4.0) + (((x ^ 5.0) + (x ^ 2.0)) + ((x - sin(x)) + x)))) + sin(x),False,True,used,pysr_warm_start,True
123,N4,42,171,False,False,1,14,0.6246480941772461,3.0477206707000732,4.594167e-15,2.787539e-09,x + ((x ^ 5.0) + (((((x ^ 3.0) + ((((x ^ 6.0) + x) - x) + (x ^ 2.0))) + (x ^ 4.0)) + x) - x)),(exp(x * ((sin(sin((sin(x * 2.50995) * 0.97274923) * (x * x))) * 0.19006227) + x)) + 0.0003141235) * ((x * x) + x),False,False,used,pysr_warm_start,True
123,N5,65,1,False,False,1,1,0.7252926826477051,0.018810033798217773,3.330669e-16,3.330669e-16,-0.12030868 + ((sin((x - ((x * 1.9050594e-8) * exp(x))) * x) * cos(x + (1.9267912e-8 / x))) - 0.8796913),-0.12030868 + ((sin((x - ((x * 1.9050594e-8) * exp(x))) * x) * cos(x + (1.9267912e-8 / x))) - 0.8796913),False,True,used,pysr_warm_start,True
123,N6,82,82,False,False,1,4,0.5746128559112549,0.7766306400299072,1.4534448e-15,1.432265e-15,((x + x) + (((sin((2.0432395e-8 + (x * x)) + x) - x) + -0.008465904) + (sin(x) - x))) + 0.008465882,(sin(x) - 5.897207e-9) + sin((x + ((x + (cos(cos(x + -0.08587265)) * ((cos(exp(exp(x))) * 1.1313919e-7) + 2.2367267e-8))) * x)) - -4.843537e-9),False,True,used,pysr_warm_start,True
123,N7,35,1,False,False,1,1,0.6761085987091064,0.021491050720214844,4.203582e-15,4.203582e-15,log(1.0 + ((x * sqrt(x * (sqrt((sqrt(sqrt(x) ^ 4.0) * x) * (sqrt(x) ^ 4.0)) * x))) + (x + (x ^ 2.0)))),log(1.0 + ((x * sqrt(x * (sqrt((sqrt(sqrt(x) ^ 4.0) * x) * (sqrt(x) ^ 4.0)) * x))) + (x + (x ^ 2.0)))),False,False,used,pysr_warm_start,True
123,N8,68,1,False,False,1,1,0.6751585006713867,0.02029275894165039,1.0325074e-15,1.0325074e-15,((-4.3244897e-10 / (0.41056132 - x)) + (((((-4.3244897e-10 / cos(0.41056132 - x)) / (-1.2384834 + x)) + (4.6016396e-10 / (1.720368 - x))) + x) ^ 1.3669857)) ^ 0.36576828,((-4.3244897e-10 / (0.41056132 - x)) + (((((-4.3244897e-10 / cos(0.41056132 - x)) / (-1.2384834 + x)) + (4.6016396e-10 / (1.720368 - x))) + x) ^ 1.3669857)) ^ 0.36576828,False,True,used,pysr_warm_start,True
123,N9,100,1,False,False,1,1,0.5752499103546143,0.02101731300354004,7.292615e-16,7.292615e-16,((sin(((y * y) * y) / y) * y) / (((sin(0.16806975 / (y - x)) * -5.1801845e-8) * x) + ((y * y) / y))) + sin(x),((sin(((y * y) * y) / y) * y) / (((sin(0.16806975 / (y - x)) * -5.1801845e-8) * x) + ((y * y) / y))) + sin(x),False,True,used,pysr_warm_start,True
