seed,system,task,r2,tier,symbolic,numerical,max_err,ground_truth,found_expression,detail
123,hypatiax,N1,0.9999999999999839,FAIL,False,False,nan,x**3 + x**2 + x,(x + cube(x)) + ((square(sin(square(cube((x + x) + x))) * exp(x)) * -1.3285685e-8) + (((x + (x + square(x))) - x) - x)),simplify≠0 | eval error: name 'cube' is not defined
123,hypatiax,N2,0.9999999999999991,FAIL,False,False,nan,x**4 + x**3 + x**2 + x,(((((x + cube(x)) * x) - x) - x) + ((x + x) + ((x * ((cube(x) - x) * (0.9999999 / x))) + x))) + x,simplify≠0 | eval error: name 'cube' is not defined
123,hypatiax,N3,1.0,FAIL,False,False,nan,x**5 + x**4 + x**3 + x**2 + x,x * (1.2267568 + (((-0.22675687 + (x + cube(x))) + ((((((x * (x + cube(x))) - x) / x) / x) * x) * x)) + x)),simplify≠0 | eval error: name 'cube' is not defined
123,hypatiax,N4,1.0,FAIL,False,False,nan,x**6 + x**5 + x**4 + x**3 + x**2 + x,((((x + (square(x) * square(x))) + (x + 0.9999995)) + (square(x) + ((x * (cube(x) + x)) * x))) - x) * x,simplify≠0 | eval error: name 'cube' is not defined
123,hypatiax,N5,0.9999999999999999,NUMERICAL,False,True,9.79552450264265e-09,sin(x**2) * cos(x) - 1,-1.0 + ((((x * ((x * (x / square(square(x + 4.7004893e-9)))) * ((cos(x) * sin(square(x))) * square(x)))) / x) / x) * x),simplify≠0 | max_err=9.80e-09 on 1000 pts
123,hypatiax,N6,0.9999999999993889,FAIL,False,False,nan,sin(x) + sin(x + x**2),((sin(x) + 0.0030325616) + sin(square(x) + (x + ((square(cube(sin(square(square(square(cube(square(square(x))))))) + x)),simplify≠0 | eval error: name 'cube' is not defined
123,hypatiax,N7,1.0,FAIL,False,False,nan,log(x + 1) + log(x**2 + 1),log(((square(sqrt(x)) + sqrt(square(x) * 1.0000001)) + x) + ((sqrt(cube(square(x))) + ((square(x) - x) + 1.0)) - sqrt(sq,simplify≠0 | eval error: name 'cube' is not defined
123,hypatiax,N8,1.0,NUMERICAL,False,True,2.391007085655872e-07,sqrt(x),sqrt(exp(log(x) / sqrt((sqrt(x) * (sqrt(exp(log(1.4901689e-8 + x))) / x)) / sqrt((sqrt(x) / x) * sqrt(x + 8.038285e-8))),simplify≠0 | max_err=2.39e-07 on 1000 pts
123,hypatiax,N9,0.9999999902965059,FAIL,False,False,nan,sin(x) + sin(y**2),(sin(x) - (cube(square(((y * cos(cube(y) * cos(cos(exp(cube(x - 0.59288824)))))) + 0.121653676) * x)) * -2.4640805e-9)) ,simplify≠0 | eval error: name 'cube' is not defined
123,hypatiax,N10,0.9999999999999996,FAIL,False,False,nan,2 * sin(x) * cos(y),(((cos(cos(square(cos((cube(sin(x)) * -2.006969) * (y + 0.17931125)) - exp(x + -0.332462)))) * -1.0387197e-7) + 0.834906,simplify≠0 | eval error: name 'cube' is not defined
