seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_from_archived_hof_csv,p_from_archived_hof_csv,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
777,N1,92,1,False,False,1,1,13.197218894958496,0.018901586532592773,1.3315087e-15,1.3315087e-15,(x + (((x * x) - (x * -1.2957757e-8)) - 1.4997049e-8)) + ((x * x) * (((((1.3587547e-8 / x) + (x * x)) * x) / x) / x)),(x + (((x * x) - (x * -1.2957757e-8)) - 1.4997049e-8)) + ((x * x) * (((((1.3587547e-8 / x) + (x * x)) * x) / x) / x)),False,True,used,pysr_warm_start,True
777,N10,73,73,False,False,17,17,3.453195095062256,3.453195095062256,1.4760983e-15,1.4760983e-15,(sin(x) + sin(x)) * (cos(y + -1.8862588e-8) - ((-1.8862588e-8 - ((y * -1.7606984e-8) / sqrt(1.0328339 - x))) * exp(sin((0.13994645 / y) - 0.8976202)))),(sin(x) + sin(x)) * (cos(y + -1.8862588e-8) - ((-1.8862588e-8 - ((y * -1.7606984e-8) / sqrt(1.0328339 - x))) * exp(sin((0.13994645 / y) - 0.8976202)))),True,True,no_candidates_returned,pysr_cold_copy,False
777,N11,137,1,False,False,1,1,0.523881196975708,0.022207975387573242,3.515268e-16,3.515268e-16,(x ^ y) + ((((((sin((((y * y) + 0.23406278) * y) * y) * 3.7819803) + 5.172274) + y) ^ x) + sin(sin(y * 1.0612082))) * 3.7291925e-9),(x ^ y) + ((((((sin((((y * y) + 0.23406278) * y) * y) * 3.7819803) + 5.172274) + y) ^ x) + sin(sin(y * 1.0612082))) * 3.7291925e-9),False,True,used,pysr_warm_start,True
777,N12,70,141,False,False,1,,0.5235798358917236,,2.4536092e-15,0.0005448078,(1.8383634e-8 - y) + (((((x ^ 4.0) + (((y ^ 2.0) / 2.0) + 9.010263e-9)) + -3.126462e-8) - ((x ^ 3.0) + -9.572653e-9)) + -9.572653e-9),(0.026385466 ^ sin(sin(sin(sin(sin(sin(sin(sin(sin(x - -0.7645754)))))))))) - ((0.8056958 ^ cos(exp(exp(sin(sin(sin(y * 0.37075093))))))) - (0.41441715 ^ y)),False,False,used,pysr_warm_start,True
777,N2,54,54,False,False,1,4,0.5217435359954834,0.6734685897827148,2.3922324e-15,2.234309e-15,(((((x / ((2.3053753e-8 / x) + x)) + x) * (x + 2.3053753e-8)) * (x + (exp(cos(x)) * -1.6749063e-8))) * x) + (x + (x * x)),((x * (x + ((((((x * x) * ((exp(x) * -3.6763357e-8) + x)) + (x * x)) * x) / x) + 0.5844483))) + x) - (x * 0.5844483),False,True,used,pysr_warm_start,True
777,N3,38,60,False,False,1,2,0.4727907180786133,0.6245200634002686,4.4549486e-15,4.701621e-15,((x ^ 3.0) + (((x * x) / x) + (x ^ 4.0))) + ((x * x) + (x + ((x ^ 5.0) - ((x * x) / x)))),(((((x * 0.8761212) * x) + (x + ((x * x) * (x + 0.12387877)))) * x) * x) + ((x + ((x * x) + -2.9551882e-7)) + 2.9251336e-7),False,True,used,pysr_warm_start,True
777,N4,79,1,False,False,1,1,0.5236153602600098,0.020825624465942383,5.495821e-15,5.495821e-15,((x ^ 4.0) + x) + ((((x ^ 5.0) + (((x + (x ^ 6.0)) - x) + (x ^ 2.0))) + (x + (x ^ 3.0))) - x),((x ^ 4.0) + x) + ((((x ^ 5.0) + (((x + (x ^ 6.0)) - x) + (x ^ 2.0))) + (x + (x ^ 3.0))) - x),False,False,used,pysr_warm_start,True
777,N5,11,29,False,False,1,9,0.6249244213104248,1.7392866611480713,4.8849814e-16,4.6629365e-16,((sin(((x ^ 2.0) * x) / x) * (cos(x) * ((x * x) / x))) / ((x * x) / x)) + -1.0,(((sin(((x * x) * x) / x) * (x * cos(x))) / x) - 0.88117003) + -0.11882998,False,True,used,pysr_warm_start,True
777,N6,66,1,False,False,1,1,0.524324893951416,0.022516250610351562,1.3569888e-15,1.3569888e-15,sin(((0.99999994 ^ x) * (x * x)) + x) + sin(x / (0.99999994 ^ (((x + -0.27792382) * cos(exp(exp(x)) ^ x)) - -0.5048391))),sin(((0.99999994 ^ x) * (x * x)) + x) + sin(x / (0.99999994 ^ (((x + -0.27792382) * cos(exp(exp(x)) ^ x)) - -0.5048391))),False,True,used,pysr_warm_start,True
777,N7,35,171,False,False,1,2,0.5744388103485107,0.5764000415802002,2.9143462e-15,4.2239132e-10,log(((sqrt(x * sqrt(sqrt(x ^ 3.9999998))) * sqrt((sqrt(sqrt(x)) ^ 3.9999998) * sqrt(sqrt(x ^ 3.9999998)))) + ((x ^ 3.0) + x)) + 1.0),(1.4018648 ^ sin(sqrt(log(log(exp(exp(x) ^ (sin((x ^ ((1.4173708 / (sin(x * 0.6232789) + 1.4025213)) + -0.027104016)) / 1.0138566) * 2.0671003))))))) * x,False,False,used,pysr_warm_start,True
