seed,nguyen_id,h_observed_iterations,p_observed_iterations,h_from_archived_hof_csv,p_from_archived_hof_csv,h_first_threshold_iteration,p_first_threshold_iteration,h_first_threshold_time_seconds,p_first_threshold_time_seconds,h_final_best_loss,p_final_best_loss,h_final_expression,p_final_expression,same_final_expression,same_final_r2,warm_start_status,effective_method,h_independent_fit
777,N1,98,91,False,False,,,,,,,,,,,,,
777,N10,173,168,False,False,,,,,,,,,,,,,
777,N11,176,133,False,False,,,,,,,,,,,,,
777,N12,0,105,False,False,,,,,,,,,,,,,
777,N2,96,94,False,False,,,,,,,,,,,,,
777,N3,100,104,False,False,,,,,,,,,,,,,
777,N4,180,124,False,False,,,,,,,,,,,,,
777,N5,0,116,False,False,,,,,,,,,,,,,
777,N6,153,147,False,False,,,,,,,,,,,,,
777,N7,141,124,False,False,,,,,,,,,,,,,
777,N8,118,124,False,False,,,,,,,,,,,,,
777,N9,149,165,False,False,,,,,,,,,,,,,
