equation,domain,extrap_r2_near,extrap_r2_far,instability_index
Arrhenius,Chemistry,0.824190644738231,-28627.533444256183,28628.35763490092
Henderson-Hasselbalch,Chemistry,0.0,0.0,0.0
Rate Law,Chemistry,0.0,0.0,0.0
Allometric Scaling,Biology,0.9983232835956186,0.9884172899259169,0.009905993669701685
Michaelis-Menten,Biology,0.0,0.0,0.0
Logistic Growth,Biology,0.0,0.0,0.0
Kinetic Energy,Physics,1.0,1.0,0.0
Gravitational Force,Physics,-inf,-inf,nan
Ideal Gas Law,Physics,0.0,0.0,0.0
Impermanent Loss,DeFi AMM,0.9639001268933437,-59.33700714123307,60.300907268126416
Price Impact,DeFi AMM,1.0,1.0,0.0
Constant Product,DeFi AMM,-6046.357827925005,-2.0858499164314764e+36,2.0858499164314764e+36
Value at Risk,DeFi Risk,1.0,1.0,0.0
Liquidation Price,DeFi Risk,0.9998224494443626,0.9999757106690753,0.00015326122471270853
Portfolio Std Dev,DeFi Risk,1.0,1.0,0.0
