Complexity,Loss,Equation
1,3.2743802,"4.9792604"
3,0.3939685,"var_S + 2.4908748"
4,0.07401957,"sqrt(var_S / 0.088755436)"
5,0.074019566,"sqrt(var_S) / sqrt(0.088755436)"
7,0.07130519,"(log(var_S) - -3.7113605) + log(var_S)"
8,0.06269886,"sqrt((var_S + -1.0261116) + (var_S * 10.452805))"
9,0.05605784,"(sin(var_S) + var_S) + sqrt(var_S / 0.36324972)"
11,0.037753288,"(sin(var_S) + var_S) + sqrt(var_S + (1.4792973 * var_S))"
12,0.037264265,"(((sqrt(var_S) + sqrt(var_S)) + 1.1178805) + 0.31138226) + log(var_S)"
13,0.033165123,"(((0.31138226 + sqrt(var_S)) + sqrt(var_S)) + sqrt(1.1178805)) + log(var_S)"
14,0.026698474,"(sqrt(sin(1.971413) + var_S) + sqrt(var_S)) + (sqrt(1.1178805) + log(var_S))"
