Complexity,Loss,Equation
1,2.528554,"-1.7511222"
3,1.9193375,"r * -1.4660294"
4,1.5569955,"exp(r) / -1.991879"
5,1.0858439,"-2.122726 - cos(exp(r))"
6,0.9719802,"sin(r * -4.340221) - 1.7100636"
7,0.8011607,"-2.122726 - (r * cos(exp(r)))"
8,0.25624555,"(sin(r * -1.4660294) * -7.1372232) + -7.613968"
11,0.12391813,"9.083532 - (exp(cos(cos(log(r) * -1.6827471))) * 5.4131994)"
12,0.07294099,"(cos(0.6025723 - ((1.9853795 / r) - r)) - r) / 0.37435615"
13,0.04481212,"(cos(r - exp((1.0654773 / r) - 0.80329055)) - r) / 0.31926504"
